                          seqname   source      feature    start      end  \
538367     .      -     0  gene_id "FBgn0262952"; transcript_id "FBtr0100...  
538372     .      -     0  gene_id "FBgn0013683"; transcript_id "FBtr0100...  
538384     .      +     0  gene_id "FBgn0013685"; transcript_id "FBtr0100...  
538390     .      +     0  gene_id "FBgn0013678"; transcript_id "FBtr0100...  
538399     .      -     0  gene_id "FBgn0013679"; transcript_id "FBtr0100...  
538417     .      -     0  gene_id "FBgn0261386"; transcript_id "FBtr0304...  
538426     .      +     0  gene_id "FBgn0040038"; transcript_id "FBtr0113...  
538443     .      +     0  gene_id "FBgn0040038"; transcript_id "FBtr0113...  
538519     .      -     0  gene_id "FBgn0085692"; transcript_id "FBtr0347...  
538563     .      +     0  gene_id "FBgn0259817"; transcript_id "FBtr0300...  
538633     .      -     0  gene_id "FBgn0085506"; transcript_id "FBtr0302...  

[30389 rows x 9 columns]
